,production_countries,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ISO3166
0,United States,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,3,2,1,12,2,3,1,2,0,4,4,1,4,1,1,3,2,1,5,4,2,6,1,9,19,24,11,8,12,16,21,19,15,12,27,32,30,44,49,58,78,114,120,103,111,108,114,97,110,128,124,124,119,115,116,99,115,122,122,137,134,135,136,115,126,135,152,130,123,90,95,97,95,107,90,110,111,125,109,119,141,145,150,135,118,133,123,133,136,162,141,157,151,185,192,198,250,265,239,256,249,242,281,292,320,359,332,355,335,356,357,383,348,391,472,541,565,622,633,547,659,658,740,820,788,707,295,2,0,1,USA
1,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5,4,6,4,2,8,4,4,2,5,5,3,5,2,5,1,4,3,4,2,0,2,1,1,2,3,1,2,1,0,0,1,2,0,2,4,5,2,5,3,4,5,6,2,6,15,8,15,10,15,15,28,22,32,11,13,19,21,18,19,17,18,17,17,10,13,11,11,11,17,18,18,18,11,16,22,37,29,33,32,49,66,77,74,74,100,91,108,65,104,95,76,94,72,77,94,79,51,27,1,0,0,DEU
2,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,2,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,4,3,4,4,2,3,3,12,10,13,9,8,8,6,7,7,6,8,12,8,13,15,15,18,18,17,20,21,18,19,29,24,29,37,24,25,30,40,33,50,47,50,31,49,57,45,33,38,35,25,28,27,35,28,30,32,37,35,31,34,37,43,31,37,43,46,37,47,61,62,62,63,67,68,73,84,86,107,123,116,119,132,144,116,126,148,129,166,161,125,54,1,0,0,GBR
3,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,9,5,9,4,2,2,1,12,4,3,2,4,4,5,0,1,3,3,2,1,0,0,0,1,0,0,0,3,2,1,4,1,5,1,5,7,7,5,8,5,9,9,9,4,2,1,3,4,1,4,4,5,2,10,5,9,11,11,13,13,19,12,17,27,33,25,31,37,35,35,36,37,31,36,33,33,45,40,36,33,37,28,26,28,22,33,32,37,35,18,27,25,31,29,35,35,38,48,46,52,53,57,69,63,84,83,97,86,102,108,111,104,126,145,151,141,148,155,159,147,151,37,1,0,0,FRA
4,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,2,4,1,7,9,6,8,10,12,17,11,9,12,13,16,30,29,31,45,36,41,46,50,49,56,64,62,78,62,51,59,53,45,40,32,34,34,32,37,24,17,19,27,22,21,28,17,20,15,15,14,16,15,21,17,21,29,26,25,44,28,29,38,34,42,35,47,46,53,46,43,24,9,0,0,0,ITA
5,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,1,4,2,3,2,4,1,5,6,5,7,14,19,8,6,15,15,23,19,22,10,11,3,4,10,7,10,10,7,9,9,4,4,7,3,8,2,4,9,5,3,12,11,14,18,13,16,13,26,20,33,24,27,31,35,39,45,31,36,38,44,53,43,14,0,0,0,ESP
6,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,3,0,0,1,2,1,4,7,1,2,4,2,3,8,6,10,7,9,17,13,15,12,17,24,22,25,31,34,31,35,9,0,0,0,CHN
7,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,3,0,0,2,3,3,4,6,6,6,9,7,4,3,7,8,6,5,7,6,7,5,6,8,3,13,12,11,12,13,18,20,22,8,13,16,18,24,32,30,20,26,25,40,32,24,8,0,0,0,AUS
8,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,4,4,0,0,2,1,2,1,2,1,1,2,0,2,1,2,6,8,4,5,8,7,9,7,6,10,12,4,3,5,0,0,0,ZAF
9,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,2,1,2,0,2,1,3,2,5,3,3,2,1,10,6,6,8,7,8,11,12,11,17,7,14,15,14,17,15,19,12,14,18,23,24,30,30,32,34,46,57,52,50,57,57,60,77,79,107,72,82,88,97,117,102,83,31,1,0,0,CAN
10,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,2,3,2,1,1,4,0,5,7,3,1,2,4,6,1,1,3,1,2,2,2,3,5,2,4,7,3,7,4,1,8,7,8,5,7,11,6,11,3,6,5,12,16,8,5,18,12,8,1,0,0,0,CHE
11,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,2,4,2,1,2,4,2,6,1,0,0,0,1,1,0,1,0,3,3,2,1,6,3,5,5,4,7,8,5,9,9,4,8,10,12,15,22,10,22,26,23,27,28,35,23,35,33,9,1,0,0,BEL
12,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,6,3,3,5,5,1,1,0,3,1,3,3,2,3,3,3,4,3,6,5,8,11,8,13,10,13,12,19,12,15,15,20,20,19,21,27,19,14,10,14,13,18,5,4,5,5,5,6,9,13,12,8,18,9,19,13,19,14,22,26,18,24,35,21,32,27,34,36,41,39,42,49,59,53,56,62,60,60,47,48,55,52,45,33,6,0,0,0,JPN
13,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,1,1,1,1,0,1,0,1,0,0,1,0,0,2,0,1,2,0,1,0,1,2,3,4,4,3,8,5,6,2,3,6,5,1,4,2,2,4,4,5,2,1,7,1,1,0,0,IRN
14,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,1,1,2,0,1,1,5,3,3,1,4,3,0,5,0,2,4,5,7,4,6,5,8,6,6,6,10,19,15,15,12,16,9,13,20,12,25,24,15,20,29,17,4,0,0,0,NDL
15,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,6,4,9,4,7,11,8,16,11,10,10,9,11,6,8,15,10,10,10,10,14,14,23,16,11,11,9,9,11,13,10,15,12,21,14,15,16,16,15,25,23,15,16,12,22,21,1,0,0,0,HKG
16,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,2,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,TUN
17,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,2,2,1,2,3,2,4,4,6,6,3,3,9,7,5,11,13,6,5,10,8,13,6,13,10,11,18,13,14,5,1,0,0,IRL
18,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,DOM
19,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0,0,1,4,2,1,1,0,0,2,0,0,1,1,2,0,1,1,2,1,2,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2,1,1,2,1,2,3,2,7,4,4,5,4,1,0,0,0,HRV
20,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,2,0,0,0,0,1,3,2,3,1,2,3,1,1,0,2,3,2,2,2,2,3,1,2,0,0,0,1,0,3,0,1,0,1,2,0,1,3,7,6,3,5,3,6,7,4,8,10,11,11,18,7,7,10,8,12,7,17,9,15,7,22,13,11,14,14,17,5,7,14,11,9,8,9,7,5,9,4,4,8,7,8,10,10,12,16,15,27,27,34,36,26,27,33,38,26,34,33,33,13,0,0,0,RUS
21,Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,3,1,0,0,0,0,MKD
22,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,4,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,1,2,1,3,0,1,1,3,0,0,1,1,1,0,1,6,2,4,3,4,4,6,2,6,3,7,10,5,14,8,6,11,9,8,13,9,12,5,13,2,0,0,0,AUT
23,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,4,2,3,3,3,1,2,5,1,1,4,1,0,2,3,2,1,3,5,2,2,1,4,1,3,3,4,1,2,4,3,6,3,4,6,6,6,2,6,6,3,0,0,0,0,TWN
24,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,1,2,0,1,2,1,1,0,1,2,8,1,2,2,2,1,3,3,4,6,3,4,5,7,1,5,6,6,4,4,9,8,6,4,0,0,0,NZL
25,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,3,0,3,3,4,1,3,3,2,3,3,2,3,4,4,3,0,2,2,1,2,3,2,3,2,2,4,4,2,1,3,5,1,3,3,3,2,4,1,1,4,1,1,1,3,3,3,1,1,3,3,0,4,4,6,4,5,6,6,12,12,18,8,14,10,18,14,17,19,19,2,0,0,0,MEX
26,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,1,4,2,1,2,0,4,5,1,0,1,3,5,2,4,3,4,1,2,1,3,2,6,3,1,5,3,3,3,6,5,5,1,1,2,5,5,2,4,4,5,4,8,7,7,7,7,11,10,12,14,8,17,13,18,12,17,14,4,0,0,0,POL
27,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,1,4,0,0,1,2,2,6,1,0,0,0,0,PER
28,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,CUB
29,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIE
30,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1,2,3,1,0,2,5,2,1,2,1,1,2,1,0,0,3,3,2,4,0,2,3,1,2,0,3,6,3,3,6,5,8,6,7,10,6,10,14,13,19,14,17,16,23,16,19,14,22,23,22,15,7,0,0,0,DNK
31,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,2,0,2,0,1,0,0,3,1,0,3,4,1,4,3,6,1,4,4,5,5,3,5,3,5,2,3,4,5,4,10,6,3,4,6,2,0,0,0,PRT
